"Country","Name","Total"
Argentina,Latin,91.08
Argentina,Rock,81.17999999999999
Argentina,Alternative & Punk,80.19
Argentina,Metal,36.63
Argentina,Easy Listening,27.72
Australia,Rock,170.28
Australia,Metal,87.12
Australia,Heavy Metal,41.58
Australia,Reggae,17.82
Australia,Blues,13.86
Austria,Rock,203.4
Austria,TV Shows,75.44
Austria,Metal,48.51
Austria,Drama,18.86
Austria,R&B/Soul,18.810000000000002
Belgium,Rock,209.88
Belgium,Alternative & Punk,119.78999999999999
Belgium,R&B/Soul,3.96
Belgium,Metal,0.99
Brazil,Rock,691.02
Brazil,Latin,501.93
Brazil,Reggae,83.16
Brazil,Metal,74.25
Brazil,Alternative & Punk,71.28
Canada,Rock,989.03
Canada,Latin,510.84
Canada,Metal,335.61
Canada,Alternative & Punk,300.96
Canada,Jazz,126.72
Chile,Latin,91.08
Chile,Drama,71.64
Chile,Rock,53.46
Chile,Easy Listening,41.58
Chile,TV Shows,35.82
Czech Republic,Rock,226.02
Czech Republic,TV Shows,188.88
Czech Republic,Drama,146.16
Czech Republic,Latin,81.27
Czech Republic,Metal,69.36
Denmark,Rock,219.78
Denmark,Alternative & Punk,55.44
Denmark,Latin,21.78
Denmark,Metal,19.8
Denmark,Pop,17.82
Finland,Rock,169.29
Finland,Latin,99.99
Finland,Sci Fi & Fantasy,31.84
Finland,Metal,27.72
Finland,Reggae,13.86
France,Rock,525.73
France,Latin,265.32
France,Alternative & Punk,207.9
France,Metal,192.06
France,Jazz,139.59
Germany,Rock,577.17
Germany,Metal,189.09
Germany,Latin,163.35
Germany,Alternative & Punk,105.12
Germany,Blues,97.02
Hungary,TV Shows,87.44
Hungary,Rock,69.38
Hungary,Latin,65.58
Hungary,Metal,61.54
Hungary,R&B/Soul,44.55
India,Rock,242.54999999999998
India,Latin,124.74
India,Alternative & Punk,102.96000000000001
India,Jazz,99.0
India,Metal,39.6
Ireland,Rock,170.76
Ireland,TV Shows,153.01999999999998
Ireland,Latin,36.63
Ireland,Metal,26.73
Ireland,Drama,21.86
Italy,Rock,189.09
Italy,Alternative & Punk,93.06
Italy,Blues,35.64
Italy,Classical,11.88
Italy,Latin,3.96
Netherlands,Rock,198.0
Netherlands,Alternative & Punk,54.45
Netherlands,Sci Fi & Fantasy,26.82
Netherlands,Pop,26.82
Netherlands,Latin,26.73
Norway,Rock,106.92
Norway,Classical,79.3
Norway,Alternative,63.44
Norway,Electronica/Dance,31.72
Norway,Drama,31.72
Poland,Rock,191.07
Poland,Alternative & Punk,67.32
Poland,Latin,48.51
Poland,Jazz,13.86
Poland,Blues,13.86
Portugal,Rock,289.14
Portugal,Metal,92.07
Portugal,Latin,72.27
Portugal,Pop,43.64
Portugal,Alternative & Punk,29.7
Spain,Rock,201.96
Spain,Alternative & Punk,40.59
Spain,Reggae,27.72
Spain,Latin,27.72
Spain,Jazz,17.82
Sweden,Latin,121.77
Sweden,Rock,85.14
Sweden,Metal,63.36
Sweden,Alternative & Punk,35.690000000000005
Sweden,World,13.86
USA,Rock,1526.1399999999999
USA,Latin,754.67
USA,Metal,554.45
USA,Alternative & Punk,415.92
USA,Jazz,202.95
United Kingdom,Rock,333.63
United Kingdom,Latin,325.71
United Kingdom,Metal,146.52
United Kingdom,Alternative & Punk,53.46
United Kingdom,Reggae,44.55
